Rank  ,Headphone,Price,Value,Principle,Overall Timbre ,Summary,Genre Focus 
A,Focal Utopia ,"$3,990.00",4,"M-Shaped, Open","Deep lows, full mids, crisp highs","Spearation and layering are impecable, richest timbre there is","Classical, film score, most genres"
A,Focal Clear,"$1,490.00",5,"M-Shaped, Open","Full lows, detailed mids, spacious highs ",High detailed response to dynamic range. Great for anylitical listens for audiophiles and sound mixers ,"Reference, Classical, jazz, Pop, folk"
A,AKG N90,"$1,499.99",2,Closed,"Rich lows, Mid range definition, Dynamic highs ",A layered sound experience made with percision,Everything 
A,Beyerdynamic Lagoon ANC,$299.99,5,Closed ,"Incredible low end detail, Crisp mids, Rich highs",A great design for any sound,Anything thats audible 
A,Ultrasone ED15,"$3,499.99",3,"GTC, Open","Rounded lows, Crips mids, Spacious highs ",Detail and clarity throughout nearly every band ,Most
A,Ultrasone Jubilee ED25,"$5,999.00",4,"Dynamic, Closed ","Deep bass, clean mids, smooth highs ",An immersive sound signiture with rich deatials and unmatched definition ,"Jazz, classical, contemporary, rock, folk"
A,HEDDphone,"$1,899.99",3,"AMT, Open","Deep lows, full mids, detailed highs ",The best soundstage I've heard on a headphone,"Classical, film score, but most genres sound great"
A,Aeon Flow 2,$889.99,5,"Planar, Open","Soft lows, balanced mids, Rich highs",Great separation and detail,"Classical, film score, but most genres sound great"
A,Audeze LCD - 3,"$1,945.00",4,"Planar, Open","Rich bass, Crisp mids, Sparkling highs ","Immaculate detail across the board, excellent separation of elements ","Classical, film score, but most genres sound great"
A,SENNHEISER HD820,"$2,399.00",4,"Dynamic, Closed ","Neutral lows, spacious mids, airy highs ","A fun, colorful timbre with a respectable amount of detail that gets better and better the more you listen ","Classical, Film score, pop, ambient, piano"
A,AUDIO TECHNICA AD5000X,"$1,999.00",3,"Dynamic, Open","Clear bass, spacious mids, extended highs",Tight and crisp with an ambient tonallity ,"Classical, Jazz, Pop, Folk, Ambient, Piano "
A,SENNHEISER HD800S,"$1,699.00",5,"Dynamic, Open","Detailed bass, clear mids, airy highs ",Great resolution across all bands of frequency ,"Classical, film score, Rock, Pop, Jazz"
A,Audeze LCD XC,"$1,299.00",3,"Planar, Closed","Detailed lows, clear mids, crisp mids ",Immaculate in high end response and prestine detail across all bands of frequency,"Classical, R&B, Jazz, Pop, Contemporary"
A,Stax SR-009s,"$4,325.00",4,"Electrostatic, Open","Textured bass, neutral mids, detailed highs ",A high definition soundstage with a well balanced timbre ,"Classical, film score, Pop, Rock, Piano, contemporary"
A,AKG K812,"$1,499.00",4,"Dynamic, Open","Rich bass, clean mids, smooth highs ",A plesant and accurate reference sounf signiture ,"Reference, Film, Classical, Jazz"
A,Beyerdynamic DT990,$185.00,5,"Dynamic, Open","Smooth lows, crisp mids, detailed highs",Excelent reference headphome that excels in articulating a detailed sound signiture,"Reference, music producer"
A,Ultrasone ED11,"$1,199.00",5,"Dynamic, Open","Smooth lows, full mids, airy highs",One of the best stages around with excellent layering and separation. Rich in detail ,"Classical, Jazz, synth, piano, ambient, electronic, folk"
A,Grado Ps1000e ,"$1,695.00",4,"Dynamic, Open","Rich lows, clean mids, detailed highs","Pristine and livley, with a consoderable amount of depth and accuracy","Classical, Jazz, Synth, Rock "
A,HIFIMAN ARYA,"$1,599.00",5,"Planar, Open","Deep lows, detialed mids, sparkly highs",Though sometimes leaning on bright the Aryas have an energetic and detailed sound signiture.,"Electronic, contemporary, rock, pop, ambient, piano"
A,MEZE Empyrean,"$2,999.00",4,"Isodynamic Hybrid, Open","Natural Lows, soft mids, dynamic highs",A imressive amount of separation and clarity for a more relaxed sound signiture ,"Claaical, Jazz, R&B, Pop, new wave "
A,Campfire Cascade ,$799.00,5,"Dynamic, Closed ","Punchy lows, dynamic mids, detailed highs ",A powerful headphone with a good amount of drive and highs end shine,"Hip-hop, electronic, rock, pop"
A,AUDEZE MOBIUS,$399.00,5,"Planar, Closed","Clear bass, clean mids, crisp highs ","A top of the line gaming headset, with surround sound that immerses you like no other headphone can ",Gaming 
B,Beyerdynamic DT770 Pro,$179.00,5,"Dynamic, Closed ","Accurate bass, accurate mids, bright highs",An impecable dyanamic range and a king of reference class audio ,"Reference, Mixing, Studio"
B,ATH-AWKT,"$1,899.00",4,"Dynamic, Closed ","tight lows, balanced mids, accurate highs ",An incredibly lively headphone with excellent resolution ,"Classical, Jazz, funk, piano, rock, pop"
B,AEON Ether flow ,$799.99,3,"Planar, Open","Soft bass, crisp mids, detailed highs ",A finnaly tuned and well balanced closed back headphone ,"Pop, rock, Jazz, Classical, Shoegaze "
B,Grado SR225e,$200.00,5,"Dynamic, Open","subdued but defined lows, crispy mids, lush highs",Rich detailed sound with excellent soundstage. Great transient response,"Rock, Folk, Acoustic, classical"
B,Sivga P-II,$399.99,3,"Plannar, Open",Rich low end with sweet and airy highs.,The P-IIs exibit a smooth and lush sound field ,"Classical, Film scores, Folk, Pop"
B,Sivga Phoenix,$255.00,4,"Dynamic, Open",Natural with a colorful mid range ,Exceeds in clarity and separation of bands ,"Classical, Film scores, Folk, Country, Vocal Jazz"
B,Focal Elegia ,$899.00,5,"M-Shaped, Closed","Rich bass, clear mids, smooth highs",Leaning towards a warmer timbre but a useful headphone for a majority of genres,"Classical, Jazz, R&B, Folk, Country"
B,Beyrdynamic T1 3rd Gen ,$999.00,4,"Tesla, Open","Deep lows, warm mids, limited highs","A relaxing open-back for casual, colorful listening","Folk, contemporary, rock, acoustic, piano, strings "
B,Beyrdynamic T5 3rd Gen ,$999.00,4,"Tesla, Closed","Thick lows, balanced mids, detailed highs",A closed back with a great soundstage ,"Hip-Hop, electronic, pop, rock, female vocal, piano "
B,IBasso SR2,$549.00,5,"Dynamic, Open","Deep lows, warm mids, clear highs",A warm open back that doesn't lack in top end. A strong soundstage with great depth,"Classical, piano ballad, rock, folk, contemporary"
B,AUDIO TECHNICA WS550IS,$99.95,5,Closed,"Deep bass, full mids, smooth highs",An affordable headphone with an impactful signifture made for fun listens,"Hip-hop, electronic, pop, rock, folk, contemporary "
B,Audio Technica MSR7b,$249.00,4,"True Motion, Closed","Meaty lows, detailed mids, bright highs",An exeptional headophone that features a deep stage and crisp details.,"Electronic, rock, pop, classical, jazz, acoustic "
B,Final Audio Sonorus III,$299.99,3,Closed,"Natural low end, Meaty mids, detailed highs","Focused mid range, great for vocal performance","Rock, Pop"
B,Sennheiser HD599,$199.95,5,Open,"Clean bass, accurate mids, rich highs ",A rich and lush sound signiture with colorful textures,"Rock, pop, ambient, folk, piano, jazz, classical"
B,Ultrasone Edition 15 Veritas ,"$3,499.99",3,"GTC, Closed","Deep lows, crisp mids, accurate highs",The great sound of the Edition 15 for a more isolated taste.,"Rock, indie, hip-hop, electronic, pop, "
B,Ultrasone ED 8 Classic ,"$1,999.00",4,"Dynamic, Closed ","Deep bass, Crisp mids, sparkly highs ",One of the best closed back soundstages available,"Jazz, classical, R&B, hip-hop, rock, vocal, piano"
B,AUDEZE LCD X,"$1,199.00",3,"Planar, Open","Flat lows, warm mids, airy highs",A spacious timbre for the analytical listener ,"Reference, classical, folk, pop, contemporary "
B,Focal Radiance,"$1,290.00",4,"M-Shaped, Closed","Deep lows, detailed mids, smooth highs ",A quality closed back headphone with subtle detials sprinkled in the sound signature ,"Rock, contemporary, folk, acoutsitc, pop, IDM"
B,Sennheiser HD 660s,$499.95,4,"Dynamic, Open","Meaty bass, crisp mids, full highs",A satisfying sound signiture that vastly improves the more you pay close attention ,"Hip-hop, R&B, Electronic, Piano, Synth, Pop"
B,Ultrasone Pro 900i,$549.99,4,"Dynamic, Closed ","Resonant lows, spacious mids, accented highs ",Ultrasone's excellent standard for soundstage mixed with silky textures and a spacious tonality. ,"Classical, jazz, Hip-hop, R&B, rock, pop, ambient, indie"
B,Audio Technica SR50,$169.00,4,Closed,"Dynamic lows, clean mids, detailed highs ",Surprising resolution at such an affordable price point ,"R&B, rock, pop, jazz, folk, acoustic, piano"
B,Grado GS3000e,"$1,795.00",4,"Dynamic, Open","Warm lows, clear mids, smooth highs",Beutiful in timbre with warm details for a laid back listen ,"Classical, Jazz, Ambient, Synth "
B,ATH-W5000,"$1,999.95",3,"Dynamic, Closed ","Limited lows, warm mids, natural highs ",Lacking any significant bass presence but makes up in the mids and highs which present impressive  detail ,"Folk, acoustic, contemporary, rock"
B,Sony MDR V6,$98.00,5,"Dynamic, Closed ","Deep bass, flat mids, crisp highs ","A reliable studio reference headphone, standard and affordable ","Reference, studio"
B,Ultrasone Signiture Studio,$599.00,3,"Dynamic, Closed ","Rich bass, flat mids, clear highs ",A studio headphone with rich consumer headphone properties. A lively headphone. ,"Hip-hop, Rock, Pop, Contemporary"
B,STAX SR 007 MK2,"$2,100.00",4,"Electrostatic, Open","Clean bass, full mids, clear highs","Accesibility can be an issue, but once you find a way to drive them this is a pristine timbre with expressive details","Hip-hop, Jazz, classical, film score, Piano, pop"
B,Hifiman Jade II,"$1,399.00",3,"Electrostatic, Open","Limited bass, accurate mids, detailed highs ","An electrotstatic sound more equal to a reference headphone, needs amp to power ","Reference, Jazz, Pop"
B,FINAL AUDIO SONORUS VI,$699.00,5,"Dynamic, Closed ","Clean bass, meaty mids, clear highs",A reliable sound signiture that sports a clean timbre and lets tracks speak for themselves ,"Rock, pop, classical, jazz "
B,Audeze LCD 2,$799.00,3,"Planar, Open","Detailed bass, recessed mids, smooth highs","Slightly on the v-shaped side, but an exceptionally clean plannar. ","Electronic, R&B, hard rock, pop"
B,Dan Clarke AEON 2,$899.00,4,"Planar, Closed","Rich lows, balanced mids crisp highs ","Engaging, colorful and tastfully balanced ","Rock, Pop, Jazz, Hip-hop, Synth"
B,ATH-AWAS,"$1,399.00",3,"Dyanmic, Closed","Tight bass, natural mids, accurate highs ",A high end headohone that excels in acoustical properties,"Classical, folk, jazz, contemporary "
B,Hifiman HE5SE,$229.99,4,"Planar, Open","Rich lows, Mid range width, Natural highs ",Highly enjoyable and well balanced ,"Rock, Pop, Hip-Hop, Elecrtonic "
B,HIFIMAN HE1000,"$2,999.00",4,"Planar, Open","Rich bass, flat mids, smooth highs ",An immaculate soundstage with an impressive waft of details to take in. ,"Classical, jazz, R&B, rock, pop, contemporary"
B,Ultrasone 880,$449.00,5,"Dynamic, Closed","Clean bass, Balanced mids, Crisp highs ",An energetic sound signiture with prestine clarity ,"Electronic, Synth, Rock, Pop"
B,Shure AONIC 50,$399.00,3,Closed ,"Smooth bass, balanced mids, clear highs","One of the best wireless headphones out there, with clairty and seemless tech ","Hip-hop, Rock, Electronic, R&B, Pop"
B,BEYERDYNAMIC 1770,$599.00,5,"Dynamic, Closed","Deep bass, clear mids, detailed highs ",A rich and luch sound signiture with colorful textures,"Hip-hop, Electronic, rock, pop, ambient "
B,Dan Clarke VOCE,"$3,299.99",3,"Electrostatic, Open","Clean bass, neutral mids, natural highs",An easy going sound that never lets up in detail or resolution. ,"Folk, contemporary, easy listening, ambient "
B,Sennheiser PXC 550 - II,$349.95,2,Closed,"Thumping lows, Clear mids, Expressive highs ",Immaculate low end that doesn't let down ,"Hip-hop, Electronic, Pop"
B,AKG K275,$99.00,5,Closed ,"Full lows, neutral mids, clear highs ",Great for reference minus a few notable cuts in the high range but otherwise a natural timbre ,Reference
B,AUDEZE GX,$899.00,4,"Planar, Open","Clear bass, thick mids, extended highs",A clean and accurate headphone for gaming ,Gaming
B,B & W PX7,$399.00,3,Closed ,"Thick bass, balanced mids, smooth highs ",A well maintained and finely tuned sound signiture ,"Hip-hop, electronic, rock, pop"
B,Audeze LCD2 Classic (Closed),$899.00,4,"Planar, Closed","Deep lows, meaty mids, soft highs ",A versitile and livley sound signiture. ,"Rock, pop, electronic, synth, metal"
B,Sennheiser Momentum 3,$399.00,4,Closed,"Punchy lows, full mids, colorful highs",An exceptional wireless headphone with a lot to offer for its price ,"Hip-hop, Rock, Pop, Electronic, ambient, Indie "
B,Sennheiser HD560s,$199.95,4,"Dynamic, Open","Deep bass, clear mids, smooth highs ",A dynamic reference style open back that is useful through multiple applications,"R&B, electronic, hip-hop, rock, pop, ambiant"
B,Audio Technica SR9,$449.00,4,"True Motion, Closed","Clean bass, detailed mids, clear highs",A headphone with great balance and fine detail.,"Electronic, hard rock, pop, ambient, industrial"
B,Beyerdynamic T5p,$999.00,3,"Dynamic, Closed","Rumbling bass, crisp mids, smooth highs ","Great layering and bass response, delivers clairty and articulation in mids and highs","Hip-hop, Pop, Rock, Classical, Jazz"
B,Audio Technica MSR7B,$249.00,4,"Dynamic, Closed ","Meaty bass, accurate mids, bright highs ",An affordable headphone for a detail oriented listener ,"Hip-hop, rock, pop, electronic, synth"
B,Beyerdynamic Amiron Wireless,$549.00,3,"Dynamic, Closed","Moddest bass, Natural mids, Lush highs ","A sweet, reliable output","Rock, pop, Synth, Folk, Classical, Jazz"
B,BEYERDYNAMIC 1990,$599.00,5,"Dynamic, Open","Deep bass, crisp mids, detailed highs ",A gratifying sound signiture with respectable separation that verges on V shape but retains fullnes ,"Jazz, Classical, rock, pop, electronic, folk "
B,Hifiman Anada,$699.99,4,"Planar, Open","Smooth bass, Full mids, Detailed highs ",Great separation and layering mixed with a rich timbre ,"Rock, pop, hip-Hop, Elecrtonic, Jazz"
B,Audio Technica L5000,"$3,999.00",3,"Dynamic, Closed","Meaty bass, clean mids, bright highs ",A unique sound and a nifty collectors item ,"Hip-hop, electronic, R&B, Rock, folk "
B,STAX SR L700,"$1,569.00",3,"Electrostatic, Open","Natural Lows, clean mids, airy highs ","Gonna need some ample driving power, but a crisp, natural sound signature ","Pop, Jazz, clasical "
B,HiFiman HE400s,$299.00,4,"Planar, Open","Deep lows, accurate mids, thin highs ",An affordable price for a planar sound ,"Hip-hop, rock, folk, contemporary"
B,DALI IO4,$399.00,4,Closed ,"Tight bass, clean mids, crisp highs ",An exceptional wireless headphone with a warm signiture ,"Folk, Country, Contemporary"
B,Grado Hemp,$420.00,5,"Dynamic, Open","Thick bass, Energeic mids, smooth highs",An incredibly livliey and full sound signiture,"Rock, Hip-hop, Pop, Folk"
B,Sivga SV004,$95.00,5,"Dynamic, Open","Natural bass, clean mids, glistening highs ",Immacualte sound signature with an expressive soundstage ,"Classical, Jazz, Folk, pop"
B,Shure SRH750 DJ,$150.00,4,"Dynamic, Closed","Accurate lows, crisp mids, detailed highs ",A crsip and accurate response for casual and reference listening at an affordable price,"Electronic, rock, pop, Indie, Reference "
B,Audio Technica M50x,$150.00,5,"Dynamic, Closed","Moderate bass, warm mids, crisp highs ",A spacious soundstage with high end detail,Reference
B,HFIMAN HE6se,"$1,299.00",4,"Planar, Open","Smooth bass, Crisp Mids, Clean highs ",An articulate sound with a plenant timbre ,"Classical, Jazz, Folk, pop"
B,KLIPSCH HP3,"$1,199.00",3,"Biodynamic, Semi-Open","Dynamic bass, Crisp mids, sparkly highs ",Impressive build quality with a smooth timbre ,"Classical, Jazz, Folk, pop"
C,Audio Technica M40x,$99.00,5,"Dynamic, Closed ","Rich low, clean flat mids, high end textures",An affordable studio headphone with a strong stereo field,Reference
C,Audio Technica Maestoso W1000Z,$498.99,3,"Dynamic, Closed","Soft bass, clean mids, sparkly highs",A headphone that showcases a lot of detailed treble. ,"Rock, pop, shoegaze, ambient, IDM, vocals"
C,Audio Technica WS770,$129.00,5,"Deep Motion, Closed","Boomy lows, snapy mids, bright highs",Mostly flat frequency response but solid overall timbre ,"Hip-hop, Pop, Rock, Synth "
C,Focal Stellia ,"$2,999.00",3,"M-Shaped, Closed","Deep bass, detailed mids, smooth highs ",Refined resolution but some higher bands cann get harsh,"Electronic, R&B, pop, contemporary, rock"
C,Sennheiser HD569,$149.95,3,"Dynamic, Closed","Impactful bass, articulate mids, smooth highs",A relativley flat sound signature easy to use with any device,"Hip-hop, electronic, acoustic, rock, "
C,AKG K52,$49.99,5,Closed ,"Smooth bass, clean mids, clear highs",An impressive soudn for an affordable price,"R&B, rock, pop, reggae"
C,Fostex TR-90,$249.00,4,"Dynamic, Semi-Open","Rumbly lows, neutral mids, clean highs ",A fun timbre with a good sense of depth,"Hip-hop, electronic, pop, "
C,Fostex TR-70,$249.00,4,"Dynamic, Open ","Deep lows, clear mids, detailed highs",A deep signiture with a wide soundstage,"Hip-hop, electronic, pop, rock, piano. jazz"
C,Fostex TH-x00 PH,$449.99,3,"Dynamic, Closed","Thick Bass, punchy mids, Prominent highs","Super wide soundstage, very detailed","Classical, Psych, Folk, Acoustic, Ambient"
C,Dan Clark ETHER ,"$2,199.00",3,"Planar, Open","Detailed lows, clean mids, Detailed highs ",A soft headphone with great extention ,"Classical, Jazz, Ambient "
C,Focal Listen Wireless ,$490.00,4,Closed,"Deep lows, full mids, spacious highs",The closest a wireless has come to a reference sound for mixers and listeners with an ear for detail.,"Reference, electronic, talk, pop, rock"
C,ESS 252,$99.00,3,"Dynamic, Closed","Thick lows, full mids, sweet highs ",A wam timbre that can be a little bloated at times but should satisfy most listeners ,"Hip-hop, electronic, folk, contemporary, rock"
C,Audio Technica ANC500,$119.00,4,Closed,"Punchy bass, present mids, smooth highs",An effective noise canceling headphone with a decdent sound ,"Hip-hop, electronic, R&B, Pop, rock"
C,Ultrasone Signature DXP DJ,$599.99,4,"Dynamic, Closed","Thick lows, balanced mids, tight highs",A reliable pair of DJ headphones ,"DJ, Hip-Hop, synth, electronic, pop"
C,AKG K 141 MKII,$149.00,5,"Dynamic, Semi-Open","Moderate bass, Clear mids, balanced highs ",Accurate response that with sufficiant dynamic range ,"Hip-hop, Electronic, Rock, Pop"
C,Beyerdynamic DT880 Pro,$249.00,3,"Dynamic, Semi-Open","Soft bass, thin mids, crisp highs","Solid for smooth listening, but better options for reference and detail","Classical, Film score, pop"
C,Audio Technica PRO7X,$199.00,3,Closed ,"Deep lows, clear mids, sensitive highs ",Solid DJ headphone but unrealiable in a reference setting ,"Hip-hop, Electronic "
C,Sennheiser HD 630VB,$399.00,4,Closed ,"Detailed bass, accurate mids, bright highs","Adjustable bass is neat, but can bleed at higher boosts. Still a high end quality headphone.","Pop, rock, Hip-hop, electronic, synth, piano"
C,Pioneer HRM-6,$169.00,3,"Dynamic, Closed ","punchy bass full bass, recessed but clear mids, detailed highs","strong soundstage, a bit of a scooped sound","funk, hip hop, electronic, pop, experimental"
C,PreSonus HD9 ,$79.00,4,"Dynamic, Closed","Clean bass, accurate mids, smooth highs",An affordable headphone for reference and studio application ,"Reference, Studio "
C,Beyerdynamic Custom Studio ,$199.00,3,"Dynamic, Closed","Decernt bass, clear mids, detailed highs ",A studio/consumer hybrid with custom listening options for a personalized experience ,"Reference, Pop, folk, contemporary, rock"
C,DALI IO6,$499.00,3,Closed ,"Wide bass, average mids, smooth highs",Smooth timbre with extended bass reponse ,"Hip-hop, Electronic, Pop, rock"
C,AUDIO TECHNICA M30X,$69.00,4,"Dynamic, Closed ","Thumping lows, clear mids, smooth highs ",Solid reference with extra color in the bass,"Reference, hip-hop, r&b, rock"
C,Adam Audio Studio Pro SP-5,$499.99,3,"Dynamic, Closed ","Solid bass, flat mids, airy highs ",A useful reference headphone for recording application,Reference
C,Sennheiser 350BT,$119.95,3,Closed ,"Light bass, thin mids, detailed highs ",Light on impact but proper for a good pop vocal or synth track,"Pop, synth, shoegaze "
C,Audeze LCD-1,$399.00,3,"Planar, Open","Warm lows, balanced mids, soft highs ",A reference headphone with some minor setbacks but still a reliable timbre ,"Reference, classical, jazz"
C,Shure SRH 240A,$59.00,4,"Dynamic, Closed","Full lows, accurate mids, bright highs ",A good budget pair of reference headphones that'll satisfy students of audio engineering ,Reference 
C,Ultrasone Pro1480i,$199.99,3,"Dynamic, Open ","Dynamic lows, neutral mids, detailed highs",A suitable semi-openback for reference use. ,Reference 
C,Sony MDR 1AM2,$299.00,3,"Dynamic, Closed ","Full bass, clear mids, smooth highs",A powerfull bass centic signiture that doesn't let up it detail.,"Hip-hop, R&B, hard rock, Electronic"
C,HIFIMAN SUNDARA,$499.00,4,"Planar, Open","Thick lows, boosted mids, airy highs","Can be thin or sibilant depending on the track, but a good headphone with a good sense of depth ","Classical, R&B, electronic, rock, pop, Jazz"
C,Anker Soundcore Space NC,$99.99,4,Closed,Deep and punchy Low envelope ,Rich detailed lows with an expansive mid range,"Hip hop, electronic, Synth pop"
C,Audio Technics DSR9BT,$549.00,3,Closed ,"Rumbly bass, flat mids, accurate highs",A servicable bluetooth headphone with an enjpyable enough signiture ,"Rock, pop, Hip-Hop, electronic "
C,Shure SRH 940,$299.99,3,"Dynamic, Closed ","subdued lows, present punchy mids, restrained crispy highs","decent sound stage, very warm",Rock
C,SIVGA 005,$89.95,4,"Dynamic, Open","Boomy bass, clear mids, sparkley highs",A solid affodable headphone with some crisp details and open soundstage.,"Rock, acoustic, R&B, pop, shoegaze, ambient"
C,Strauss & Wagner ANCBT501,$129.99,4,Closed ,"Rumbly bass, Mid range clarity, Glistening highs",Well rounded but a little too muddy in the lows,"Pop, rock, Hip-Hop, Ambient "
C,Audio Techinca M60x,$199.00,3,Closed ,"Accurate lows, clean mids, neutral highs",A reliable reference headphone that leans on a flater frequency ressponse,"Reference, contemporary"
C,Grado RS1e,$695.00,2,"Dynamic, Open ","Defined lows, strong midrange, average highs","strong soundtage, very crisp and detailed","folk, psych, acoustic, classical"
C,Beyerdynamic DT 240 Pro,$99.95,4,"Dynamic, Closed ","Clear lows, clean mids, accurate highs",A cheap and reliable studio headphone,Reference
C,MEZE 99 NEO ,$199.00,3,"Dynamic, Closed","Deep lows, warm mids, natural highs",An accessible and enjoyable listen.,"Rock, electronic, Folk, contemporary"
C,Sennheiser HD471i,$109.00,3,"Dynamic, Closed ","thick bass, prominent mids, crisp highs",very wide sound stage,"pop, psych, ambient, indie, classical, jazz"
C,SIVGA SV006,$99.00,3,"Dynamic, Open","Tight bass, recessed mids, clear highs",Sivgas signiture expansive stage for an affordable price. Mids not as clean. ,"Classical, Jazz, pop, electronic"
C,Audio Technica SR6BT,$69.00,4,Closed ,"Soft bass, Thin Mids, Glistenng highs ",Detailed high end makes up for lacking response ,"Classical, Film score, Pop, Jazz"
C,Grado SR325e,$295.00,4,"Dynamic, Open","Boomy bass, detailed mids, clear highs ","Lacking in bass compared to other Grado models but still a satisfying, unique sound. ","Rock, contemporary, folk, pop, blues"
C,Grado RS2E,$495.00,4,"Dynamic, Open ","Soft Bass, distinct mids, Sizzling highs ",Lacks in hard detail but excellent sepation/clarity,"Classical, rock, pop, Jazz"
C,Grado GW100 Wireless,$249.00,3,"Dynamic, Open","Thick bass, clean mids, bright highs ",A strong signiture with a rich output. ,"Electronic, rock, metal, pop, synth, punk "
C,Ultrasone Pro 480i ,$149.99,4,"Dynamic, Closed","Clean bass, accurate mids, rolled off highs ",A well made reference headphone going for an affordable price,Reference 
C,Audeze LCD2 Classic (OPEN) ,$799.00,3,"Planar, Open","Deep bass, neutral mids, warm highs ",A well textured and enjoyabele sound signiture that lacks polish,"Electronic, rock, pop, contemporary, jazz"
C,B&O H8i,$399.00,3,Closed,"Rounded lows, thin mids, plesent highs ",A comfortable fit with a fun sound signiture that will satisfy certain genres ,"Hip-hop, R&B, Pop, Rock"
C,AKG N60,$299.95,3,Closed,"Boomy bass, flat mids, balanced highs",A solid noise-canceling option for fans or AKG. ,"Hip-hop, electronic, Pop, audiobook, podcast "
C,Audio Technica ATH WP900,$650.00,2,"Dynamic, Clsoed ","Tight Bass, Clean mids, Glittery highs",May sound too thick for some but detailed highs,"Rock, electronic, Jazz, Pop"
C,Grado SR60,$79.00,5,"Dynamic, Open","Punchy bass, V-shaped mids, crisp highs","Bass is thick but a tad shallow, mids are messy and low mid dominant, highs shine ","Hip-hop, Electronic, Pop"
C,Sony WH-1000XM3,$349.00,3,"Dynamic, Closed ","Muddy bass, detailed mids, lacking highs ",A little underwhelming at first but companion app features make this headphone personalized to your fitting,
C,Audio Technica M50xBT,$179.00,4,Closed ,"Thick bass, recessed mids, detailed highs","A more boxy, hollow sound than its wired counterpart but still a solid sound for wireless ","Hip-hop, Electronic, Pop"
D,Bose Noise Canceling 700,$299.00,3,Closed ,"Smooth bass, hallow mids, Dull highs ",Average in sound signiture but noice canceling tech is top notch ,"Hip-Hop, Rock, Synth, Pop"
D,Sennheiser HD450BT,$199.95,3,Closed ,"Rumbly bass, Muffly mids, Tight highs ",Average sound quality with okay bass,"Hip-Hop, R&B, Electronic "
D,Ultrasone Pro 580i,$199.99,3,"Dynamic, Closed ","Deep lows, limited mids, average highs",A solid sound for a select few genres with good isolation.,"Electronic, rock, pop"
D,Samson Z55,$289.99,2,"Dynamic, Clsoed ","Flat bass, warm mids, bright highs","A run of the mill reference headphone that has some stand out qualites, but there may be better options ",Reference 
D,Ultrasone GO,$149.95,2,Closed ,"Thick lows, muddy mids, weak highs ",A bloated sound signiture with an okay soundstage,"Hip-hop, electronic"
D,Bowers & Wilkins PX5,$299.00,3,Closed ,"Boosted bass, V-Shaped mids, weak highs ","Powerful bass but lacking in some bands, enjoyable for some genres","Hip-hop, Electronic"
D,Pioneer HDJ X10 ,$349.00,2,"Dynamic, Closed ","Thick bass, muffled mids, airy highs","An adaquate bass head style headphone with some nice high end accents, but not the best clarity","Hip-Hop, electronic, pop"
D,Cowin E7 Pro,$49.99,4,Closed,Rumbly but impactful low freq response ,Punchy lows but limited in other ranges ,Hip-hop
D,Cowin E8 ANC ,$149.00,3,Closed ,"Deep lows, messy mids, weak highs",Lacking timbre but goodn soundstage and very strong ANC,"Hip-Hop, electronic, Pop, audiobook, podcast "
D,JBL Live,$99.95,3,Closed,"Smooth lows, crisp mids, bland highs ",An adaquite consumer headphone ,"Hip-hop, Pop, Rock"
D,Kef M500,$199.95,2,Closed,"punchy subdued lows, articulate midrange, flat highs","boxy sound, nothing really stands out","rock, pop"
D,Klipsch Reference Over ear ,$289.00,2,Closed,"Soft lows, full mids, rich highs ",A good headphone but lacks clarity ,"Jazz, Pop, Indie "
F,Taotronics SoundSurge 55,$109.00,2,Closed,"Dull lows, muddy mids, Clear highs ",Great for noise cancelation but sound signiture is scrambled and unclear ,"Pop, Ambient "
F,Plugged Crown ,$99.99,2,Closed,"Thick bass, messy mids, harsh highs ","High end bring this headphone down, but affordable with good bass","Hip-Hop, R&B, Electronic "
F,Cowin Se7,$99.99,2,Closed,"Thick lows, muddy mids, weak highs ",Okay sound for bass heads but doesn't offer much outside that range ,"Hip-hop, electronic"